client_name,primary_key,lobby_url,lobbying_firm,policy_areas,politicians_targeted,politicians_count,lobbying_period_start_date
Island Ferries Teoranta,11416,https://www.lobbying.ie/return/11416,J.O.S Solicitors,Local Government,"Aidan Donohue, Anne Rabbitte, Beirti O’ hAinmhire, Catherine Connolly, Dermot Connolly, Donagh Mark Killilea, Frank Kearney, Ger Mullarkey, Gerry Finnerty, Hildegarde Naughton, James Charity, Jim Cuddy, Jim Cullen, Jimmy McLearn, Joe Byrne, Karey McHugh, Kevin Kelly, Malachy Noone, Martina Kinane, Mary Hoade, Michael Connolly, Michael Fahy, Michael Finnerty, Michael Fitzmaurice, Michael Mogie Maher, Niamh Byrne, Noel Thomas, Pat Hynes, Peter Feeney, Peter Keaveney, Peter Roche, Seamus Walsh, Seosamh Ó'Cualáin, Seán Canney, Seán Kyne, Seán O Tuairisg, Shane Donnellan, Shaun Cunniffe, Thomas Welby, Tim Broderick, Tom Healy, Tom McHugh, Tomás Ó Curraoin, Trevor Ó Clochartaigh, Éamon Ó Cuív",45,2016-09-01T00:00:00.000000
JAMES NUGENT & SONS,97576,https://www.lobbying.ie/return/97576,Corr & Associates Spatial Planning Ltd,Development and Zoning,"Ann Graves, Brian Dennehy, Brian McDonagh, Brigid Manton, Darragh Butler, Dean Mulligan, Jimmy Guerin, Joe Newman, Tom O'Leary, Tony Murphy",10,2023-01-01T00:00:00.000000
JANSSEN SCIENCES IRELAND UC,21791,https://www.lobbying.ie/return/21791,AM O'Sullivan PR Ltd.,Transport,"Mary Mitchell O'Connor, Roy Dooney",2,2017-05-01T00:00:00.000000
JANSSEN SCIENCES IRELAND UC,17098,https://www.lobbying.ie/return/17098,AM O'Sullivan PR Ltd.,Transport,"Donnchadh Ó Laoghaire, Michael McGrath, Micheál Martin, Simon Coveney",4,2017-01-01T00:00:00.000000
JCDecaux Ireland Limited,53002,https://www.lobbying.ie/return/53002,Gravis Planning (Ireland) Limited,Development and Zoning,"Kate O'Connell, Lorraine Hall",2,2019-05-01T00:00:00.000000
JCDecaux Ireland Limited,47961,https://www.lobbying.ie/return/47961,Gravis Planning (Ireland) Limited,Development and Zoning,"Claire O'Connor, Cormac Devlin, John Bailey, Paddy Smyth",4,2019-01-01T00:00:00.000000
JMK Group,73104,https://www.lobbying.ie/return/73104,Paul Allen & Associates Public Relations,Health,John Callinan,1,2021-01-01T00:00:00.000000
JP Quinn & Sons,15273,https://www.lobbying.ie/return/15273,David Mulcahy Planning Consultants Ltd,Development and Zoning,Peter Minnock,1,2017-01-01T00:00:00.000000
JTI IRELAND LIMITED,91881,https://www.lobbying.ie/return/91881,FTI Consulting,Trade,"Brendan Smith, Ged Nash, Jackie Cahill, John Lahart, Marc MacSharry, Pat Casey, Peter Fitzpatrick, Timmy Dooley",8,2022-09-01T00:00:00.000000
JTI IRELAND LIMITED,87947,https://www.lobbying.ie/return/87947,FTI Consulting,Trade,"Aidan Davitt, Brendan Smith, Jackie Cahill, Marc MacSharry, Niamh Smyth, Noel Grealish, Peter Fitzpatrick, Thomas Pringle, Timmy Dooley",9,2022-05-01T00:00:00.000000
JTI IRELAND LIMITED,87943,https://www.lobbying.ie/return/87943,FTI Consulting,Taxation,"Fiona O'Connor, Grant Sweetnam",2,2022-05-01T00:00:00.000000
JTI IRELAND LIMITED,87945,https://www.lobbying.ie/return/87945,FTI Consulting,Trade,James Lawless,1,2022-05-01T00:00:00.000000
JTI IRELAND LIMITED,78975,https://www.lobbying.ie/return/78975,FTI Consulting,Taxation,"Fiona O'Connor, Grant Sweetnam",2,2021-09-01T00:00:00.000000
JTI IRELAND LIMITED,78978,https://www.lobbying.ie/return/78978,FTI Consulting,Trade,"Aidan Davitt, Brendan Smith, Dara Calleary, Ged Nash, Jackie Cahill, James Lawless, Michael Creed, Noel Grealish, Timmy Dooley",9,2021-09-01T00:00:00.000000
JTI IRELAND LIMITED,27203,https://www.lobbying.ie/return/27203,FTI Consulting,Trade,"Alan Kelly, Bernard Durkan, Brian Stanley, Gerald Nash, Jack Chambers, James Lawless, John Deasy, John McGuinness, John O'Mahony, Marcella Corcoran Kennedy, Niall Collins, Noel Rock, Timmy Dooley",13,2018-01-01T00:00:00.000000
JTI Ireland,46852,https://www.lobbying.ie/return/46852,FTI Consulting,Trade,"Bobby Aylward, Catherine Noone, Gerald Nash, John Deasy, John O'Mahony, Marc MacSharry, Maureen O'Sullivan, Peter Fitzpatrick",8,2019-01-01T00:00:00.000000
JTI Ireland,34879,https://www.lobbying.ie/return/34879,FTI Consulting,Trade,"Bobby Aylward, Brendan Smith, Brian Stanley, Eugene Murphy, Frank O'Rourke, Gerald Nash, Jackie Cahill, Kevin O'Keeffe, Maureen O'Sullivan, Peter Fitzpatrick, Seán Ó Fearghaíl",11,2018-09-01T00:00:00.000000
JTI Ireland,31049,https://www.lobbying.ie/return/31049,FTI Consulting,Taxation,"Colm Brophy, John McGuinness, Michael Harty",3,2018-05-01T00:00:00.000000
JTI Ireland,25294,https://www.lobbying.ie/return/25294,FTI Consulting,Taxation,"John McGuinness, Paschal Donohoe, Stephen Lynam",3,2017-09-01T00:00:00.000000
JTI Ireland Limited,91885,https://www.lobbying.ie/return/91885,FTI Consulting,Trade,"Christopher O'Sullivan, Diarmuid Wilson, Emer Higgins, Niamh Smyth, Pat Casey, Timmy Dooley",6,2022-09-01T00:00:00.000000
JTI Ireland Limited,87941,https://www.lobbying.ie/return/87941,FTI Consulting,Trade,"Brian Stanley, Christopher O'Sullivan, David Stanton, Diarmuid Wilson, Duncan Smith, Emer Higgins, John Paul Phelan, Michael Moynihan, Niamh Smyth, Pádraig O'Sullivan",10,2022-05-01T00:00:00.000000
JTI Ireland Limited,83253,https://www.lobbying.ie/return/83253,FTI Consulting,Trade,"Aindrias Moynihan, Barry Cowen, Christopher O'Sullivan, Dara Calleary, Joe Carey, Joe McHugh, John Lahart, Michael Creed",8,2022-01-01T00:00:00.000000
JTI Ireland Limited,75561,https://www.lobbying.ie/return/75561,FTI Consulting,Trade,"Brendan Smith, Ged Nash, Thomas Pringle",3,2021-05-01T00:00:00.000000
JTI Ireland Limited,71160,https://www.lobbying.ie/return/71160,FTI Consulting,Trade,"Joe Flaherty, Martin Conway",2,2021-01-01T00:00:00.000000
JTI Ireland Limited,66668,https://www.lobbying.ie/return/66668,FTI Consulting,Trade,"Alan Dillon, Cathal Crowe, John Paul Phelan, Lorraine Clifford-Lee, Paul McAuliffe, Sean Sherlock, Seán Kyne, Shane Cassells",8,2020-09-01T00:00:00.000000
JTI Ireland Limited,66556,https://www.lobbying.ie/return/66556,FTI Consulting,Taxation,"Ed Brophy, Grant Sweetnam, John Lahart, John McGuinness",4,2020-09-01T00:00:00.000000
JTI Ireland Ltd,51207,https://www.lobbying.ie/return/51207,FTI Consulting,Trade,"Brendan Smith, Caoimhghín Ó Caoláin, Dara Murphy, Maureen O'Sullivan, Niall Collins, Noel Grealish, Peter Fitzpatrick",7,2019-05-01T00:00:00.000000
JTI Ireland Ltd.,71350,https://www.lobbying.ie/return/71350,FTI Consulting,Trade,Frank Feighan,1,2021-01-01T00:00:00.000000
JTI Ireland Ltd.,54404,https://www.lobbying.ie/return/54404,FTI Consulting,Taxation,"Ed Brophy, John McGuinness, Michael McGrath",3,2019-09-01T00:00:00.000000
JTI Ireland Ltd.,54405,https://www.lobbying.ie/return/54405,FTI Consulting,Trade,"Brendan Smith, Noel Grealish",2,2019-09-01T00:00:00.000000
JTI Ireland Ltd.,34906,https://www.lobbying.ie/return/34906,FTI Consulting,Health,James Lawless,1,2018-09-01T00:00:00.000000
JUST-EAT IRELAND LIMITED,111804,https://www.lobbying.ie/return/111804,Teneo Strategy Ireland Limited,Employment,"Fiona Campbell, Neale Richmond",2,2024-01-01T00:00:00.000000
JUUL LABS IRELAND LIMITED,47591,https://www.lobbying.ie/return/47591,Heneghan PR,Health,"Bernard Durkan, Noel Rock",2,2019-01-01T00:00:00.000000
Jack Potts Bingo,56011,https://www.lobbying.ie/return/56011,Paul Allen & Associates Public Relations,Justice and Equality,"Aengus Ó Snodaigh, Aindrias Moynihan, Alan Edge, Alan Farrell, Alan Hayes, Andrew Doyle, Anne Rabbitte, Baby Pereppadan, Barry Cowen, Bernard Durkan, Bobby Aylward, Brendan Griffin, Brendan Howlin, Brendan Ryan, Brendan Smith, Brian Lawlor, Brian Stanley, Bríd Smith, Caoimhghín Ó Caoláin, Carly Bailey, Carol Nolan, Cathal King, Catherine Byrne, Catherine Connolly, Catherine Martin, Catherine Murphy, Charles Flanagan, Charlie McConalogue, Charlie O'Connor, Ciaran Cannon, Clare Daly, Colm Brophy, Colm O'Rourke, Criona Ní Dhálaigh, Damien English, Danny Healy-Rae, Dara Calleary, Darragh O'Brien, David Cullinane, David McManus, David Norris, David Stanton, Declan Breathnach, Deirdre O'Donovan, Denis Naughten, Denise Mitchell, Dessie Ellis, Donnchadh Ó Laoghaire, Eamon Ryan, Eamon Scanlon, Ed O'Brien, Emer Higgins, Emma Murphy, Eoin Ó Broin, Eugene Murphy, Fergus O'Dowd, Finian McGrath, Fiona O'Loughlin, Frances Black, Francis Noel Duffy, Francis Timmons, Gino Kenny, Guss O'Connell, Imelda Munster, Jack Chambers, Jackie Cahill, James Browne, James Lawless, Jan O'Sullivan, Jim Daly, Jim O'Callaghan, Joan Burton, Joan Collins, Joanna Tuffy, Joe Carey, Joe McHugh, Joe O'Brien, John Brady, John Brassil, John Lahart, John McGuinness, John Paul Phelan, Jonathan O'Brien, Kate O'Connell, Katherine Zappone, Kathleen Funchion, Kenneth Egan, Kevin 'Boxer' Moran, Kevin O'Keeffe, Kieran Mahon, Liam Sinclair, Liona O'Toole, Lisa Chambers, Lorraine Clifford-Lee, Louise Dunne, Louise O'Reilly, Madeleine Johansson, Malcolm Byrne, Marc MacSharry, Marcella Corcoran Kennedy, Margaret Murphy O'Mahony, Marie Sherlock, Mark Ward, Martin Conway, Martin Ferris, Martin Heydon, Martin Kenny, Mary Butler, Mary Lou McDonald, Mary Mitchell O'Connor, Mary Seery-Kearney, Mattie McGrath, Maureen O'Sullivan, Maurice Quinlivan, Michael Collins, Michael Creed, Michael D'Arcy, Michael Fitzmaurice, Michael Harty, Michael Healy-Rae, Michael Lowry, Michael McGrath, Michael Moynihan, Micheál Martin, Mick Barry, Mick Duff, Máire Devine, Niall Collins, Niamh Smyth, Noel Grealish, Noel Rock, Pamela Kearns, Paschal Donohoe, Pat Breen, Pat Buckley, Pat Casey, Pat Deering, Pat the Cope Gallagher, Patrick O'Donovan, Patrick Pearse Holohan, Paul Gogarty, Paul Kehoe, Paul Murphy, Peadar Tóibín, Pearse Doherty, Peter Burke, Peter Fitzpatrick, Peter Kavanagh, Pádraig O'Sullivan, Rebecca Moynihan, Richard Boyd Barrett, Robert Troy, Ronan McMahon, Ruth Coppinger, Róisín Shorthall, Sandra Fay, Seán Canney, Seán Crowe, Seán Fleming, Seán Haughey, Seán Kyne, Seán Sherlock, Seán Ó Fearghaíl, Shane Cassells, Shane Moynihan, Shane Ross, Simon Coveney, Stephen Donnelly, Séamus Healy, Teresa Costello, Thomas Byrne, Thomas Pringle, Timmy Dooley, Tina McVeigh, Tom Neville, Tommy Broughan, Tony McLoughlin, William Joseph Carey, William Priestly, Willie O'Dea, Willie Penrose, Yvonne Collins, Éamon Ó Cuív",183,2019-09-01T00:00:00.000000
James McNally,81870,https://www.lobbying.ie/return/81870,Andrew Cassidy,Environment,Tony Murphy,1,2021-09-01T00:00:00.000000
James Morris,8850,https://www.lobbying.ie/return/8850,Tom Phillips + Associates,Development and Zoning,Dermot Lacey,1,2016-05-01T00:00:00.000000
James O Mahony and family,59845,https://www.lobbying.ie/return/59845,CORNELIUS VIVIAN OCALLAGHAN,Development and Zoning,Fearghal Reidy,1,2020-01-01T00:00:00.000000
James O Mahony and family,59837,https://www.lobbying.ie/return/59837,CORNELIUS VIVIAN OCALLAGHAN,Development and Zoning,Ann Doherty,1,2020-01-01T00:00:00.000000
James O'Mahoney,139784,https://www.lobbying.ie/return/139784,Pinnacle Public Affairs Ltd,Development and Zoning,"Albert Deasy, Ciara O’Connor, Colm Kelleher, Donnchadh Ó Laoghaire, Fergal Dennehy, Gary O’Brien, Jerry Buttimer, Joe Lynch, Laura Harmon, Micheál Martin, Pádraig Rice, Seamus McGrath, Shane O'Callaghan, Terry Coleman",14,2026-01-01T00:00:00.000000
James O'Mahoney,135108,https://www.lobbying.ie/return/135108,Pinnacle Public Affairs Ltd,Development and Zoning,"Albert Deasy, Ciara O’Connor, Colm Kelleher, Fergal Dennehy, Gary O’Brien, Joe Lynch, Shane O'Callaghan, Terry Coleman",8,2025-09-01T00:00:00.000000
Jan C van Dijk,7059,https://www.lobbying.ie/return/7059,Jan van Dijk,Development and Zoning,"Frank Pentony, Joan Martin",2,2016-05-01T00:00:00.000000
Jane Cortez,59149,https://www.lobbying.ie/return/59149,Saoirse Housing Association CLG,Housing,Aengus O Snoidigh,1,2020-05-01T00:00:00.000000
Jazz Pharmaceuticals,134008,https://www.lobbying.ie/return/134008,FTI Consulting,Health,"Brian Keegan, Laura Mannion, Peter Burke",3,2025-09-01T00:00:00.000000
Jazz Pharmaceuticals,129879,https://www.lobbying.ie/return/129879,FTI Consulting,Health,Peter Burke,1,2025-05-01T00:00:00.000000
Jazz Pharmaceuticals,123977,https://www.lobbying.ie/return/123977,FTI Consulting,Health,"Brian Keegan, Jennifer Carroll MacNeill, Laura Mannion, Marie Sherlock, Peter Burke, Pádraig Rice, Stephen Foley",7,2025-01-01T00:00:00.000000
