client_name,primary_key,lobby_url,lobbying_firm,policy_areas,politicians_targeted,politicians_count,lobbying_period_start_date
DCC,21878,https://www.lobbying.ie/return/21878,Sodali & Co,EU Affairs,Seán Kelly,1,2017-05-01T00:00:00.000000
DEBRA Ireland,27561,https://www.lobbying.ie/return/27561,DEBRA Ireland,Health,"Brendan Smith, Colm Burke, John Halligan, Leo Varadkar, Niamh Smyth, Seán Fleming",6,2018-01-01T00:00:00.000000
DEBRA Ireland,5976,https://www.lobbying.ie/return/5976,DEBRA Ireland,Health,"Kathleen Lynch, Leo Varadkar",2,2016-01-01T00:00:00.000000
DEPOSIT RETURN SCHEME IRELAND COMPANY LIMITED BY GUARANTEE,140405,https://www.lobbying.ie/return/140405,Teneo Strategy Ireland Limited,Environment,Janet Horner,1,2026-01-01T00:00:00.000000
DEPOSIT RETURN SCHEME IRELAND COMPANY LIMITED BY GUARANTEE,133815,https://www.lobbying.ie/return/133815,Teneo Strategy Ireland Limited,Environment,"Alan Dillon, James Geoghegan, Réada Cronin, William Aird",4,2025-09-01T00:00:00.000000
DEPOSIT RETURN SCHEME IRELAND COMPANY LIMITED BY GUARANTEE,129043,https://www.lobbying.ie/return/129043,Teneo Strategy Ireland Limited,Environment,"Albert Dolan, Ciarán Ahern, John Clendennen, Malcolm Byrne, Matt Carthy, Pa Daly",6,2025-05-01T00:00:00.000000
DEPOSIT RETURN SCHEME IRELAND COMPANY LIMITED BY GUARANTEE,126454,https://www.lobbying.ie/return/126454,Teneo Strategy Ireland Limited,Environment,"Alan Dillon, Barry Ward, Ciarán Ahern, Ged Nash, Jack White, James Geoghegan, Jennifer Whitmore, John Paul O'Shea, Johnny Mythen, Mairéad Farrell, Maria Byrne, Mark Duffy, Maurice Quinlivan, Naoise O'Cearúil, Noel O'Donovan, Paul Donnelly, Seán Crowe, Shay Brennan, Sinéad Gibney",19,2025-01-01T00:00:00.000000
DEPOSIT RETURN SCHEME IRELAND COMPANY LIMITED BY GUARANTEE,120529,https://www.lobbying.ie/return/120529,Teneo Strategy Ireland Limited,Environment,"Christopher O'Sullivan, Darren O'Rourke, Derek Kelly, Jennifer Whitmore, John McGahon, Rebecca Moynihan",6,2024-09-01T00:00:00.000000
DEPOSIT RETURN SCHEME IRELAND COMPANY LIMITED BY GUARANTEE,114313,https://www.lobbying.ie/return/114313,Teneo Strategy Ireland Limited,Environment,"Aindrias Moynihan, Cathal Crowe, Fergus O'Dowd, Pádraig O'Sullivan",4,2024-05-01T00:00:00.000000
DEPOSIT RETURN SCHEME IRELAND COMPANY LIMITED BY GUARANTEE,112221,https://www.lobbying.ie/return/112221,Teneo Strategy Ireland Limited,Environment,"Chris Andrews, David Stanton, Emer Currie, Emer Higgins, Erin McGreehan, Joan Collins, Johnny Mythen, Josepha Madigan, Michael Pidgeon, Neale Richmond, Ossian Smyth, Patrick Costello, Pauline O'Reilly, Rebecca Moynihan, Richard Bruton, Steven Matthews, Thomas Gould",17,2024-01-01T00:00:00.000000
DEPOSIT RETURN SCHEME IRELAND COMPANY LIMITED BY GUARANTEE,107136,https://www.lobbying.ie/return/107136,Teneo Strategy Ireland Limited,Environment,"Christopher O'Sullivan, Darren O'Rourke, John McGahon, Richard Bruton, Seán Sherlock",5,2023-09-01T00:00:00.000000
DEPOSIT RETURN SCHEME IRELAND COMPANY LIMITED BY GUARANTEE,106911,https://www.lobbying.ie/return/106911,Teneo Strategy Ireland Limited,Environment,"Kevin Barrett, Michael McGrath",2,2023-09-01T00:00:00.000000
DEPOSIT RETURN SCHEME IRELAND COMPANY LIMITED BY GUARANTEE,86361,https://www.lobbying.ie/return/86361,Ed Brophy,Environment,Paul Kenny,1,2022-05-01T00:00:00.000000
DERMVIEW LIMITED,96527,https://www.lobbying.ie/return/96527,Heneghan PR,Health,"Bernard Durkan, David Cullinane, Patricia Ryan, Violet Anne Wynne, Éamon Ó Cuív",5,2023-01-01T00:00:00.000000
DH Enterprise and Associates Inc.,37093,https://www.lobbying.ie/return/37093,Hanover Media Strategy Limited,Finance,"Aisling Dunne, Brendan Griffin, Carol Hunt, Shane Ross",4,2018-09-01T00:00:00.000000
DHL,131717,https://www.lobbying.ie/return/131717,Rockwood Consulting ULC,Transport,Darragh O'Brien,1,2025-05-01T00:00:00.000000
DHL,116310,https://www.lobbying.ie/return/116310,Rockwood Consulting ULC,Transport,James Lawless,1,2024-05-01T00:00:00.000000
DHL Supply Chain,121632,https://www.lobbying.ie/return/121632,Rockwood Consulting ULC,Transport,James Lawless,1,2024-09-01T00:00:00.000000
DHL Supply Chain (Ireland),106272,https://www.lobbying.ie/return/106272,Rockwood Consulting ULC,Transport,Jack Chambers,1,2023-09-01T00:00:00.000000
DIAGEO IRELAND UNLIMITED COMPANY,102230,https://www.lobbying.ie/return/102230,Q4PR,Economic Development and Industry,"Alan Dunney, Brian Murphy, Deirdre Gillane, Fiona O'Loughlin",4,2023-05-01T00:00:00.000000
DIGNITY 4 PATIENTS COMPANY LIMITED BY GUARANTEE,85833,https://www.lobbying.ie/return/85833,Dignity4Patients,Justice and Equality,Ged Nash,1,2022-01-01T00:00:00.000000
DIGNITY 4 PATIENTS COMPANY LIMITED BY GUARANTEE,52871,https://www.lobbying.ie/return/52871,Dignity4Patients,Health,"Caoimhghín Ó Caoláin, Fergus O'Dowd, Gerald Nash, Heather Humphreys",4,2019-09-01T00:00:00.000000
DIT Students' Union Ltd,5289,https://www.lobbying.ie/return/5289,Montague Communications Ltd,Education and Training,Joanna Tuffy,1,2016-01-01T00:00:00.000000
DITSU,23821,https://www.lobbying.ie/return/23821,Montague Communications Ltd,Education and Training,"Aodhan O Riordain, Catherine Martin, Jan O'Sullivan, Joan Burton, Kathleen Funchion, Roy Dooney, Thomas Byrne",7,2017-09-01T00:00:00.000000
DITSU Ltd,28111,https://www.lobbying.ie/return/28111,Montague Communications Ltd,Education and Training,"Alice-Mary Higgins, Aodhán Ó Ríordáin, Catherine Ardagh, Catherine Martin, Fintan Warfield, Gerard Craughwell, Jan O'Sullivan, Kathleen Funchion, Paul Gavan, Robbie Gallagher, Thomas Byrne",11,2018-01-01T00:00:00.000000
DITSU Ltd,19910,https://www.lobbying.ie/return/19910,Montague Communications Ltd,Education and Training,"Aodhan O Riordain, Carol Nolan, Catherine Martin, Eamon Ryan, Gerard Craughwell, Joan Burton, Lynn Ruane",7,2017-05-01T00:00:00.000000
DITSU Ltd,12019,https://www.lobbying.ie/return/12019,Montague Communications Ltd,Education and Training,"Aine Clancy, Alice-Mary Higgins, Aodhán Ó Ríordáin, Carol Nolan, Cathleen Boud, Clare Daly, Denis Landy, Eamon Ryan, Eoin Ó Broin, Gary Gannon, Gerald Nash, Gerard Craughwell, Ivana Bacik, Jim O'Callaghan, Joan Burton, Kate O'Connell, Kevin Humphreys, Lynn Ruane, Noel Rock, Paddy Bourke, Rebecca Moynihan",21,2016-09-01T00:00:00.000000
DITSU Ltd,9507,https://www.lobbying.ie/return/9507,Montague Communications Ltd,Education and Training,"Alan Kelly, Alice-Mary Higgins, Aodhán Ó Ríordáin, Clare Daly, Denis Landy, Eamon Ryan, Eoin Ó Broin, Gary Gannon, Gerald Nash, Gerard Craughwell, Ivana Bacik, Jim O'Callaghan, Joan Burton, Kate O'Connell, Kevin Humphreys, Lynn Ruane, Mary Lou McDonald",17,2016-05-01T00:00:00.000000
DITSU Ltd,9479,https://www.lobbying.ie/return/9479,Montague Communications Ltd,Education and Training,"Alan Kelly, Alice-Mary Higgins, Aodhán Ó Ríordáin, Clare Daly, Denis Landy, Eamon Ryan, Eoin Ó Broin, Gary Gannon, Gerald Nash, Gerard Craughwell, Ivana Bacik, Jim O'Callaghan, Joan Burton, Kate O'Connell, Kevin Humphreys, Lynn Ruane, Mary Lou McDonald",17,2016-05-01T00:00:00.000000
DJKORRL Ltd,97150,https://www.lobbying.ie/return/97150,JKS Communications,Development and Zoning,"Barry Ward, Cormac Devlin, Jennifer Carroll MacNeill, Philip O’Callaghan",4,2023-01-01T00:00:00.000000
DJKORRL Ltd.,114497,https://www.lobbying.ie/return/114497,Hume Brophy,Sports and Recreation,"Anna Grainger, Barry Saul, Cormac Devlin, Jim O'Leary, John Hurley, Ossian Smyth, Pierce Dargan, Tom Kivlehan",8,2024-05-01T00:00:00.000000
DJKORRL Ltd.,109744,https://www.lobbying.ie/return/109744,Hume Brophy,Sports and Recreation,"Barry Ward, Catherine Martin, Cormac Devlin, Jennifer Carroll MacNeill, Josepha Madigan, Leo Varadkar, Micheál Martin, Neale Richmond, Ossian Smyth, Thomas Byrne",10,2024-01-01T00:00:00.000000
DK Lands,30765,https://www.lobbying.ie/return/30765,K King Construction Claregalway Ltd,Development and Zoning,"Frank Kearney, Malachy Noone, Peter Feeney",3,2018-05-01T00:00:00.000000
DOGS TRUST IRELAND  ,100215,https://www.lobbying.ie/return/100215,Edelman Ireland,Justice and Equality,James Lawless,1,2023-05-01T00:00:00.000000
DOGS TRUST IRELAND  COMPANY LIMITED BY GUARANTEE,142391,https://www.lobbying.ie/return/142391,Edelman Ireland,Agriculture,"Barry Ward, Chris Andrews, Fiona Murray, Janet Horner, Jen Cummins, Joanna Byrne, Maeve O'Connell, Mark Ward, Patricia Stephenson, Paul Donnelly, Roderic O'Gorman",11,2026-01-01T00:00:00.000000
DOGS TRUST IRELAND  COMPANY LIMITED BY GUARANTEE,131343,https://www.lobbying.ie/return/131343,Edelman Ireland,Agriculture,Emma Blain,1,2025-05-01T00:00:00.000000
DOGS TRUST IRELAND  COMPANY LIMITED BY GUARANTEE,129642,https://www.lobbying.ie/return/129642,Edelman Ireland,Agriculture,"Ivana Bacik, John Walsh, Robert O'Donoghue",3,2025-05-01T00:00:00.000000
DOGS TRUST IRELAND  COMPANY LIMITED BY GUARANTEE,96752,https://www.lobbying.ie/return/96752,Edelman Ireland,Community,Pauric McPhillips,1,2023-01-01T00:00:00.000000
DOGS TRUST LIMITED,13509,https://www.lobbying.ie/return/13509,Instinctif Partners Public Affairs Ireland,Agriculture,"Aengus Ó Snodaigh, Andrew Doyle, Barry Cowen, Brendan Griffin, Brian Crowley, Brian Hayes, Bríd Smith, Caoimhghín Ó Caoláin, Catherine Murphy, Charlie McConalogue, Clare Daly, Dara Calleary, David Cullinane, Dessie Ellis, Eamon Ryan, Gerry Adams, Jack Chambers, Jackie Cahill, James Browne, James Lawless, Jerry Buttimer, Joan Collins, John Paul Phelan, Josepha Madigan, Lisa Chambers, Lynn Boylan, Mairead McGuinness, Marian Harkin, Martin Kenny, Mary Lou McDonald, Matt Carthy, Maureen O'Sullivan, Michael Creed, Michael D'Arcy, Michael Moynihan, Michelle Mulherin, Mick Wallace, Nessa Childers, Niamh Smyth, Noel Grealish, Noel Rock, Pat Deering, Paul Kehoe, Peter Burke, Pádraig Mac Lochlainn, Richard Boyd Barrett, Ruth Coppinger, Róisín Shortall, Seán Crowe, Seán Kelly, Seán Kyne, Stephen Donnelly, Thomas Byrne, Tim Lombard, Tommy Broughan, Tony McLoughlin, Willie Penrose",57,2016-09-01T00:00:00.000000
DOGS TRUST LIMITED,9241,https://www.lobbying.ie/return/9241,Instinctif Partners Public Affairs Ireland,Community,"Andrew Doyle, Brendan Griffin, Brendan Howlin, Caoimhghín Ó Caoláin, Charlie McConalogue, Clare Daly, Dara Calleary, Eamon Scanlon, Enda Kenny, Jackie Cahill, James Browne, Joan Collins, Lisa Chambers, Marc MacSharry, Martin Blake, Martin Kenny, Maureen O'Sullivan, Michael Creed, Michael D'Arcy, Michael Ring, Michelle Mulherin, Mick Barry, Mick Wallace, Niamh Smyth, Noel Grealish, Pat Deering, Paul Daly, Paul Kehoe, Pádraig Mac Lochlainn, Ruth Coppinger, Seán Haughey, Thomas Byrne, Thomas Pringle, Tim Lombard, Tommy Broughan, Tony McLoughlin, Willie Penrose, Áine Kilroy",38,2016-05-01T00:00:00.000000
DOMAIN REGISTRY IE LIMITED,55312,https://www.lobbying.ie/return/55312,Pender & Associates Ltd,Economic Development and Industry,Richard Bruton,1,2020-01-01T00:00:00.000000
DOWN SYNDROME IRELAND,79292,https://www.lobbying.ie/return/79292,"FleishmanHillard, Ireland",Education and Training,"Leo Varadkar, Matthew Lynch, Micheál Martin, Paul Clarkson",4,2021-09-01T00:00:00.000000
DRESS FOR SUCCESS DUBLIN COMPANY LIMITED BY GUARANTEE,27448,https://www.lobbying.ie/return/27448,Alice Public Relations,Employment,"Alice-Mary Higgins, Ivana Bacik, Lorraine Clifford-Lee",3,2018-01-01T00:00:00.000000
DUBLIN POOL AND JUKE BOX COMPANY LIMITED,116486,https://www.lobbying.ie/return/116486,Red Flag Consulting Limited,Justice and Equality,"Garret Ahearn, Malcolm Byrne, Regina Doherty, Rónán Mullen, Timmy Dooley",5,2024-05-01T00:00:00.000000
DUBLIN POOL AND JUKE BOX COMPANY LIMITED,112144,https://www.lobbying.ie/return/112144,Red Flag Consulting Limited,Justice and Equality,"Alan Farrell, Bernard Durkan, Brendan Griffin, Colm Brophy, Gerry Horkan, Jerry Buttimer, Jim O'Callaghan, Mark Daly, Paddy Burke, Pat Casey, Paul Daly, Vincent P Martin",12,2024-01-01T00:00:00.000000
DUBLIN POOL AND JUKE BOX COMPANY LIMITED,107349,https://www.lobbying.ie/return/107349,Red Flag Consulting Limited,Justice and Equality,"Daithí De Róiste, John McGahon, Mary Fitzpatrick",3,2023-09-01T00:00:00.000000
DUBLIN POOL AND JUKE BOX COMPANY LIMITED,103041,https://www.lobbying.ie/return/103041,Red Flag Consulting Limited,Justice and Equality,"Helen McEntee, James Browne",2,2023-05-01T00:00:00.000000
DUBLIN POOL AND JUKE BOX COMPANY LIMITED,98208,https://www.lobbying.ie/return/98208,Red Flag Consulting Limited,Justice and Equality,"Alan Farrell, Barry Ward, Jim O'Callaghan",3,2023-01-01T00:00:00.000000
DUBLIN POOL AND JUKE BOX COMPANY LIMITED,94354,https://www.lobbying.ie/return/94354,Red Flag Consulting Limited,Justice and Equality,"Alan Farrell, Aodhán Ó Ríordáin, Barry Ward, Billy Kelleher, Brendan Howlin, Donnchadh Ó Laoghaire, Jennifer Carroll MacNeill, Jim O'Callaghan, Pa Daly, Robbie Gallagher, Vincent P Martin",11,2022-09-01T00:00:00.000000
DUBLIN TRAVELLERS EDUCATION AND DEVELOPMENT GROUP COMPANY LIMITED BY GUARANTEE,93827,https://www.lobbying.ie/return/93827,Edelman Ireland,Health,Frank Feighan,1,2022-09-01T00:00:00.000000
DW Raheen Developments Ltd,87988,https://www.lobbying.ie/return/87988,Pinnacle Public Affairs Ltd,Housing,"Abul Kalam Azad Talukder, Brian Leddin, Dan McSweeney, Daniel Butler, Elisa O'Donovan, Fergus Kilcoyne, James Collins, Joe Leddin, Kieran O'Donnell, Maria Byrne, Maurice Quinlivan, Willie O'Dea",12,2022-05-01T00:00:00.000000
DW Raheen Developments Ltd,84341,https://www.lobbying.ie/return/84341,Pinnacle Public Affairs Ltd,Housing,"Abul Kalam Azad Talukder, Brian Leddin, Dan McSweeney, Daniel Butler, Elisa O'Donovan, Fergus Kilcoyne, James Collins, Joe Leddin, Maria Byrne, Maurice Quinlivan, Willie O'Dea",11,2022-01-01T00:00:00.000000
Dairy Industry Ireland,114392,https://www.lobbying.ie/return/114392,Q4PR,Health,"Cormac Devlin, Jerry Buttimer",2,2024-05-01T00:00:00.000000
Danone,83098,https://www.lobbying.ie/return/83098,Hume Brophy,Food ,"Aindrias Moynihan, Michael Creed, Michael Moynihan, Tim Lombard",4,2022-01-01T00:00:00.000000
Danone,78981,https://www.lobbying.ie/return/78981,Hume Brophy,Health,Fergus O'Dowd,1,2021-09-01T00:00:00.000000
Danone,78695,https://www.lobbying.ie/return/78695,Hume Brophy,Food ,"Avril Cronin, Deirdre Shanley, Frank Feighan, Martin Heydon, Norma Foley, Paul Kehoe",6,2021-09-01T00:00:00.000000
Danone ,119956,https://www.lobbying.ie/return/119956,Hume Brophy,Health,John Lahart,1,2024-09-01T00:00:00.000000
Darina Dunne,110446,https://www.lobbying.ie/return/110446,Insight Consultants,Health,"Cormac Devlin, Malcolm Byrne",2,2024-01-01T00:00:00.000000
Daughters of Charity Child & Family Service,122049,https://www.lobbying.ie/return/122049,Bassline Strategy Ltd,Children and Youth Affairs,Roderic O'Gorman,1,2024-09-01T00:00:00.000000
Daughters of Charity Child & Family Service,114556,https://www.lobbying.ie/return/114556,Bassline Strategy Ltd,Children and Youth Affairs,"Roderic O'Gorman, Tom Sheppard",2,2024-05-01T00:00:00.000000
Daughters of Charity Community Services,54623,https://www.lobbying.ie/return/54623,Daughters of Charity Community Services,Children and Youth Affairs,Mary Fitzpatrick,1,2019-09-01T00:00:00.000000
Daughters of Charity Community Services CLG,66359,https://www.lobbying.ie/return/66359,Daughters of Charity Community Services,Education and Training,Mary Fitzpatrick,1,2020-09-01T00:00:00.000000
Daughters of Charity Community Services CLG,66278,https://www.lobbying.ie/return/66278,Daughters of Charity Community Services,Education and Training,Mary Fitzpatrick,1,2020-09-01T00:00:00.000000
David Curtin ,110387,https://www.lobbying.ie/return/110387,Respect Vapers,Health,"Anne Rabbitte, Annie Hoey, Bernard Durkan, Brendan Smith, Cathal Crowe, Danny Healy-Rae, David Cullinane, Donnchadh Ó Laoghaire, Duncan Smith, Frances Black, Francis Noel Duffy, Garret Ahearn, Gino Kenny, Hildegarde Naughton, Jackie Cahill, James Lawless, James O'Connor, Jim O'Callaghan, Joan Collins, Joe Flaherty, John Lahart, John McGuinness, Lorraine Clifford-Lee, Marie Sherlock, Martin Conway, Martin Heydon, Mattie McGrath, Maurice Quinlivan, Michael Collins, Michael Fitzmaurice, Michael Healy-Rae, Mick Barry, Neasa Hourigan, Noel Grealish, Ollie Crowe, Paul Gavan, Paul McAuliffe, Pearse Doherty, Richard Bruton, Robert Watt, Róisín Garvey, Seán Crowe, Seán Haughey, Seán Kyne, Stephen Donnelly, Verona Murphy, Violet Anne Wynne",47,2024-01-01T00:00:00.000000
David Curtin & Co,110390,https://www.lobbying.ie/return/110390,David Curtin & Co Ltd,Health,"Hildegarde Naughton, Robert Watt",2,2024-01-01T00:00:00.000000
David Lawless,19743,https://www.lobbying.ie/return/19743,WKN Real Estate Advisors Limited,Development and Zoning,"Frank Austin, Mary Henchy",2,2017-05-01T00:00:00.000000
David Nodwell,13128,https://www.lobbying.ie/return/13128,McCutcheon Halley,Development and Zoning,Padraig O'Sullivan,1,2016-09-01T00:00:00.000000
David O'Regan,75871,https://www.lobbying.ie/return/75871,Pinnacle Public Affairs Ltd,Health,"Frank Feighan, Mary Butler, Paul Melia, Stephen Donnelly",4,2021-05-01T00:00:00.000000
Davis Events Group,100568,https://www.lobbying.ie/return/100568,Pinnacle Public Affairs Ltd,Sports and Recreation,Shane O'Callaghan,1,2023-05-01T00:00:00.000000
Dealz,13474,https://www.lobbying.ie/return/13474,Ian Doyle,Development and Zoning,Deirdre Wadding,1,2017-01-01T00:00:00.000000
Declan McDonald,24297,https://www.lobbying.ie/return/24297,Sherry FitzGerald Group,Development and Zoning,Eddie Taaffe,1,2017-09-01T00:00:00.000000
Declan McDonald,13900,https://www.lobbying.ie/return/13900,Sherry FitzGerald Group,Development and Zoning,Eddie Taaffe,1,2016-09-01T00:00:00.000000
Declan McDonald,13919,https://www.lobbying.ie/return/13919,Sherry FitzGerald Group,Development and Zoning,"Mary Hanafin, Simon Coveney",2,2016-09-01T00:00:00.000000
Dee Murnane,50723,https://www.lobbying.ie/return/50723,Disability Federation of Ireland,Local Government,Danny Collins,1,2019-05-01T00:00:00.000000
Deliveroo,78518,https://www.lobbying.ie/return/78518,Hume Brophy,Economic Development and Industry,"Leo Varadkar, Matthew Lynch",2,2021-09-01T00:00:00.000000
Deliveroo (Roofoods Ltd),70685,https://www.lobbying.ie/return/70685,Hume Brophy,Employment,"Leo Varadkar, Louise O'Reilly, Marie Sherlock, Mary Fitzpatrick, Mary Seery Kearney",5,2021-01-01T00:00:00.000000
Deliveroo (Roofoods Ltd),65871,https://www.lobbying.ie/return/65871,Hume Brophy,Employment,"Aodhán Ó Ríordáin, Catherine Martin, Catherine Murphy, Chris Andrews, Damien English, Eamon Ryan, Eoghan Murphy, Gary Gannon, Ged Nash, Imelda Munster, Jim O'Callaghan, Leo Varadkar, Louise O'Reilly, Mark Wall, Paschal Donohoe, Pearse Doherty, Róisín Shorthall",17,2020-09-01T00:00:00.000000
Deliveroo (Roofoods Ltd),63371,https://www.lobbying.ie/return/63371,Hume Brophy,Food ,"Damien English, Eamon Ryan, John Carroll, Leo Varadkar, Micheál Martin",5,2020-05-01T00:00:00.000000
Deliveroo (Roofoods Ltd),57704,https://www.lobbying.ie/return/57704,Hume Brophy,Food ,"Aisling Dunne, Brendan Griffin, Brian Murphy, Chris Donoghue, Colm Desmond, Declan Hughes, Denise Duffy, Derek Moran, Ed Brophy, Graham Doyle, Heather Humphreys, Jim Breslin, Joanne Lonergan, John Carroll, Leo Varadkar, Martin Fraser, Micheál Martin, Orlaigh Quinn, Paschal Donohoe, Pauric McPhillips, Regina Doherty, Shane Ross, Simon Coveney, Simon Harris",24,2020-01-01T00:00:00.000000
Deliveroo (Roofoods Ltd),53945,https://www.lobbying.ie/return/53945,Hume Brophy,Employment,"Alice-Mary Higgins, Bríd Smith, Joan Collins, Joe Carey, John Brady, John Curran, Maria Bailey, Maurice Quinlivan, Willie O'Dea",9,2019-09-01T00:00:00.000000
Deliveroo (Roofoods Ltd),53949,https://www.lobbying.ie/return/53949,Hume Brophy,Economic Development and Industry,"Colm Brophy, Dara Murphy, Jim O'Callaghan, Kate O'Connell, Kevin O'Keeffe, Michael McGrath, Micheál Martin, Noel Rock, Paschal Donohoe, Richard Bruton, Seán Barrett",11,2019-09-01T00:00:00.000000
Deliveroo (Roofoods Ltd),50819,https://www.lobbying.ie/return/50819,Hume Brophy,Employment,Regina Doherty,1,2019-05-01T00:00:00.000000
Deliveroo (Roofoods Ltd),48648,https://www.lobbying.ie/return/48648,Hume Brophy,Employment,"Catherine Ardagh, Gerald Nash, Joe Carey, John Curran, Maria Bailey, Ray Butler, Regina Doherty, Willie O'Dea",8,2019-01-01T00:00:00.000000
Deliveroo (Roofoods Ltd),48553,https://www.lobbying.ie/return/48553,Hume Brophy,Economic Development and Industry,"Billy Kelleher, Mary Butler, Noel Rock, Pat Breen, Tom Neville",5,2019-01-01T00:00:00.000000
Delivery Platforms Europe,110458,https://www.lobbying.ie/return/110458,Pinnacle Public Affairs Ltd,EU Affairs,"Dermot Mulligan, Fiona Campbell, Helen McEntee, Laura McGonigle, Neale Richmond, Patrick Cluskey, Simon Coveney",7,2024-01-01T00:00:00.000000
Dell Products ,135981,https://www.lobbying.ie/return/135981,Q4PR,Economic Development and Industry,Jack Chambers,1,2025-09-01T00:00:00.000000
Denise Harris,106040,https://www.lobbying.ie/return/106040,Rockwood Consulting ULC,Trade,"Anne Rabbitte, Barry Andrews",2,2023-09-01T00:00:00.000000
Denise Harris,106032,https://www.lobbying.ie/return/106032,Rockwood Consulting ULC,Trade,"Barry Andrews, Billy Kelleher, Chris MacManus, Ciarán Cuffe, Colm Markey, Deirdre Clune, Frances Fitzgerald, Maria Walsh",8,2023-09-01T00:00:00.000000
Dental Health Foundation Ireland,139766,https://www.lobbying.ie/return/139766,Pinnacle Public Affairs Ltd,Health,"Colm Burke, David Cullinane, Manus Boyle, Maria Byrne, Marie Sherlock, Martin Daly, Michael Cahill, Nicole Ryan, Peter Roche, Pádraig O'Sullivan, Pádraig Rice, Sorca Clarke, Teresa Costello, Tom Clonan",14,2026-01-01T00:00:00.000000
Dental Health Foundation Ireland,133989,https://www.lobbying.ie/return/133989,Pinnacle Public Affairs Ltd,Health,"Jennifer Carroll MacNeill, Stephen Foley",2,2025-09-01T00:00:00.000000
Dental Health Foundation Ireland,130069,https://www.lobbying.ie/return/130069,Pinnacle Public Affairs Ltd,Health,"Brid Murphy, Colm Burke, David Cullinane, Fiona Campbell, Helen McEntee, Jennifer Carroll MacNeill, Martin Daly, Niall Redmond, Patrick Cluskey, Stephen Foley",10,2025-05-01T00:00:00.000000
"Department of Housing, Local Government & Heritage",83997,https://www.lobbying.ie/return/83997,KPMG,Environment,"Eoin Moran, Feargal Ó Coigligh, Fiona Quinn, Hannah Hamilton, Malcolm Noonan, Maria Graham, Niall Ó'Donnchú",7,2022-01-01T00:00:00.000000
"Department of Housing, Local Government & Heritage",83995,https://www.lobbying.ie/return/83995,KPMG,Environment,"Eoin Moran, Feargal Ó Coigligh, Fiona Quinn, Hannah Hamilton, Malcolm Noonan, Maria Graham, Niall Ó'Donnchú",7,2021-09-01T00:00:00.000000
"Department of Housing, Local Government and Heritage",97716,https://www.lobbying.ie/return/97716,KPMG,Environment,"Eoin Moran, Feargal Ó Coigligh, Fiona Quinn, Hannah Hamilton, Malcolm Noonan, Maria Graham, Niall Ó'Donnchú",7,2023-01-01T00:00:00.000000
"Department of Housing, Local Government and Heritage",92770,https://www.lobbying.ie/return/92770,KPMG,Environment,"Eoin Moran, Feargal Ó Coigligh, Fiona Quinn, Hannah Hamilton, Malcolm Noonan, Maria Graham, Niall Ó'Donnchú",7,2022-09-01T00:00:00.000000
"Department of Housing, Local Government and Heritage",88216,https://www.lobbying.ie/return/88216,KPMG,Environment,"Eoin Moran, Feargal Ó Coigligh, Fiona Quinn, Hannah Hamilton, Malcolm Noonan, Maria Graham, Niall Ó'Donnchú",7,2022-05-01T00:00:00.000000
Depaul Ireland,132340,https://www.lobbying.ie/return/132340,Bassline Strategy Ltd,Housing,"Aodhán Ó Ríordáin, Barry Andrews, Barry Cowen, Billy Kelleher, Ciaran Mullooly, Cynthia Ní Mhurchú, Kathleen Funchion, Luke Ming Flanagan, Lynn Boylan, Maria Walsh, Michael McNamara, Nina Carberry, Regina Doherty, Seán Kelly",14,2025-09-01T00:00:00.000000
Depaul Ireland,128350,https://www.lobbying.ie/return/128350,Bassline Strategy Ltd,Housing,Aodhán Ó Ríordáin,1,2025-05-01T00:00:00.000000
Depaul Ireland,123962,https://www.lobbying.ie/return/123962,Bassline Strategy Ltd,Housing,Aodhán Ó Ríordáin,1,2025-01-01T00:00:00.000000
Depaul Ireland,82634,https://www.lobbying.ie/return/82634,Bassline Strategy Ltd,Housing,"Carolyne Godkin, Darragh O'Brien, Diarmuid Lynch, Donnchadh Ó Laoghaire, John Brannigan, Mark Keaveney, Michael McGrath, Micheál Martin, Simon Coveney",9,2022-01-01T00:00:00.000000
Depaul Ireland,82635,https://www.lobbying.ie/return/82635,Bassline Strategy Ltd,Foreign Affairs ,Ivana Bacik,1,2022-01-01T00:00:00.000000
Depaul Ireland,79142,https://www.lobbying.ie/return/79142,Bassline Strategy Ltd,Housing,"Darragh O'Brien, Diarmuid Lynch, Micheál Martin",3,2021-09-01T00:00:00.000000
Dermot Grimes,6253,https://www.lobbying.ie/return/6253,Corr & Associates Spatial Planning Ltd,Development and Zoning,"Anne Devitt, Brian Dennehy, Darragh Butler, David McGuinness, David O'Connor, Duncan Smith, Eugene Coppinger, Gráinne Maguire, Jimmy Guerin, Joe Newman, John Paul  Browne, Malachy Quinn, Paul Mulville, Tony Murphy",14,2016-01-01T00:00:00.000000
"Desmond Onuoha and his mother, Monica Ubaka",47227,https://www.lobbying.ie/return/47227,Ability West,Social Protection,Jacqui McCrum,1,2019-01-01T00:00:00.000000
