unique_member_code,first_name,last_name,constituency_name,full_name,party,ministerial_office,year_elected,dail_number,dails_served,is_current
Joe-Costello.S.1989-10-01,Joe,Costello,Administrative Panel,Joe Costello,Labour Party,false,1989,21,"21,27,29,30,31",False
Denis-Cregan.S.1982-05-13,Denis,Cregan,Labour Panel,Denis Cregan,Fine Gael,false,1982,21,"20,21",False
Avril-Doyle.D.1982-12-14,Avril,Doyle,Agricultural Panel,Avril Doyle,Fine Gael,false,1982,21,"21,27",False
Enda-Bonner.S.1997-09-17,Enda,Bonner,Nominated by the Taoiseach,Enda Bonner,Fianna Fáil,false,1997,21,21,False
Tom-Hayes.S.1997-09-17,Tom,Hayes,Agricultural Panel,Tom Hayes,Fine Gael,false,1997,21,"21,28,29,30,31",False
Edward-Haughey.S.1994-12-13,Edward,Haughey,Nominated by the Taoiseach,Edward Haughey,Fianna Fáil,false,1994,21,"20,21",False
Des-Hanafin.S.1969-11-05,Des,Hanafin,Labour Panel,Des Hanafin,Fianna Fáil,false,1969,21,21,False
Pat-Gallagher.D.1992-12-14,Pat,Gallagher,Industrial and Commercial Panel,Pat Gallagher,Labour Party,false,1992,21,"21,27",False
Dermot-Fitzpatrick.D.1987-03-10,Dermot,Fitzpatrick,Nominated by the Taoiseach,Dermot Fitzpatrick,Fianna Fáil,false,1987,21,"21,29",False
Tom-Fitzgerald.S.1981-10-08,Tom,Fitzgerald,Nominated by the Taoiseach,Tom Fitzgerald,Fianna Fáil,false,1981,21,"20,21",False
Jim-Gibbons.S.1997-09-17,Jim,Gibbons,Nominated by the Taoiseach,Jim Gibbons,Progressive Democrats,false,1997,21,21,False
Michael-Finneran.S.1989-10-01,Michael,Finneran,Administrative Panel,Michael Finneran,Fianna Fáil,false,1989,21,"20,21,29,30",False
Willie-Farrell.S.1982-05-13,Willie,Farrell,Industrial and Commercial Panel,Willie Farrell,Fianna Fáil,false,1982,21,"20,21",False
Joseph-Doyle.D.1982-12-14,Joseph,Doyle,Administrative Panel,Joseph Doyle,Fine Gael,false,1982,21,"20,21",False
John-Cregan.S.1998-06-23,John,Cregan,Labour Panel,John Cregan,Fianna Fáil,false,1998,21,"21,29,30",False
Jim-Glennon.S.2000-06-09,Jim,Glennon,Industrial and Commercial Panel,Jim Glennon,Fianna Fáil,false,2000,21,"21,29",False
Seán-Ó-Fearghaíl.S.2000-06-09,Seán,Ó Fearghaíl,Agricultural Panel,Seán Ó Fearghaíl,Fianna Fáil,false,2000,21,"21,29,30,31,32,33,34",False
M-J-Nolan.S.1982-05-13,M. J.,Nolan,Agricultural Panel,M. J. Nolan,Fianna Fáil,false,1982,21,"21,27,29,30",False
Martin-Mackin.S.2002-05-22,Martin,Mackin,Nominated by the Taoiseach,Martin Mackin,Fianna Fáil,false,2002,21,21,False
Tom-Morrissey.S.2002-09-12,Tom,Morrissey,Nominated by the Taoiseach,Tom Morrissey,Progressive Democrats,false,2002,22,22,False
