identifier,first_name,last_name,sitting_days_attendance,other_days_attendance,year,iso_sitting_days_attendance,iso_other_days_attendance
Hearne_Rory,Rory,Hearne,24/09/2025,,2025,2025-09-24,
Hearne_Rory,Rory,Hearne,30/09/2025,,2025,2025-09-30,
Hearne_Rory,Rory,Hearne,01/10/2025,,2025,2025-10-01,
Hearne_Rory,Rory,Hearne,02/10/2025,,2025,2025-10-02,
Hearne_Rory,Rory,Hearne,08/10/2025,,2025,2025-10-08,
Hearne_Rory,Rory,Hearne,09/10/2025,,2025,2025-10-09,
Hearne_Rory,Rory,Hearne,14/10/2025,,2025,2025-10-14,
Hearne_Rory,Rory,Hearne,15/10/2025,,2025,2025-10-15,
Hearne_Rory,Rory,Hearne,21/10/2025,,2025,2025-10-21,
Hearne_Rory,Rory,Hearne,22/10/2025,,2025,2025-10-22,
Hearne_Rory,Rory,Hearne,04/11/2025,,2025,2025-11-04,
Hearne_Rory,Rory,Hearne,,06/01/2025,2025,,2025-01-06
Hearne_Rory,Rory,Hearne,,07/01/2025,2025,,2025-01-07
Hearne_Rory,Rory,Hearne,,14/01/2025,2025,,2025-01-14
Hearne_Rory,Rory,Hearne,,15/01/2025,2025,,2025-01-15
Hearne_Rory,Rory,Hearne,,16/01/2025,2025,,2025-01-16
Hearne_Rory,Rory,Hearne,,17/01/2025,2025,,2025-01-17
Hearne_Rory,Rory,Hearne,,20/01/2025,2025,,2025-01-20
Hearne_Rory,Rory,Hearne,,21/01/2025,2025,,2025-01-21
Hearne_Rory,Rory,Hearne,,28/01/2025,2025,,2025-01-28
Hearne_Rory,Rory,Hearne,,29/01/2025,2025,,2025-01-29
Hearne_Rory,Rory,Hearne,,30/01/2025,2025,,2025-01-30
Hearne_Rory,Rory,Hearne,,31/01/2025,2025,,2025-01-31
Hearne_Rory,Rory,Hearne,,04/02/2025,2025,,2025-02-04
Hearne_Rory,Rory,Hearne,,14/02/2025,2025,,2025-02-14
Hearne_Rory,Rory,Hearne,,17/02/2025,2025,,2025-02-17
Hearne_Rory,Rory,Hearne,,21/02/2025,2025,,2025-02-21
Hearne_Rory,Rory,Hearne,,24/02/2025,2025,,2025-02-24
Hearne_Rory,Rory,Hearne,,28/02/2025,2025,,2025-02-28
Hearne_Rory,Rory,Hearne,,11/03/2025,2025,,2025-03-11
Hearne_Rory,Rory,Hearne,,13/03/2025,2025,,2025-03-13
Hearne_Rory,Rory,Hearne,,24/03/2025,2025,,2025-03-24
Hearne_Rory,Rory,Hearne,,31/03/2025,2025,,2025-03-31
Hearne_Rory,Rory,Hearne,,15/04/2025,2025,,2025-04-15
Hearne_Rory,Rory,Hearne,,16/04/2025,2025,,2025-04-16
Hearne_Rory,Rory,Hearne,,28/04/2025,2025,,2025-04-28
Hearne_Rory,Rory,Hearne,,09/05/2025,2025,,2025-05-09
Hearne_Rory,Rory,Hearne,,12/05/2025,2025,,2025-05-12
Hearne_Rory,Rory,Hearne,,26/05/2025,2025,,2025-05-26
Hearne_Rory,Rory,Hearne,,30/05/2025,2025,,2025-05-30
Hearne_Rory,Rory,Hearne,,03/06/2025,2025,,2025-06-03
Hearne_Rory,Rory,Hearne,,04/06/2025,2025,,2025-06-04
Hearne_Rory,Rory,Hearne,,13/06/2025,2025,,2025-06-13
Hearne_Rory,Rory,Hearne,,16/06/2025,2025,,2025-06-16
Hearne_Rory,Rory,Hearne,,27/06/2025,2025,,2025-06-27
Hearne_Rory,Rory,Hearne,,18/07/2025,2025,,2025-07-18
Hearne_Rory,Rory,Hearne,,21/07/2025,2025,,2025-07-21
Hearne_Rory,Rory,Hearne,,22/07/2025,2025,,2025-07-22
Hearne_Rory,Rory,Hearne,,23/07/2025,2025,,2025-07-23
Hearne_Rory,Rory,Hearne,,25/07/2025,2025,,2025-07-25
Hearne_Rory,Rory,Hearne,,29/07/2025,2025,,2025-07-29
Hearne_Rory,Rory,Hearne,,01/08/2025,2025,,2025-08-01
