unique_member_code,first_name,last_name,constituency_name,full_name,party,ministerial_office,year_elected,dail_number,dails_served,is_current
Jim-Daly.D.2011-03-09,Jim,Daly,Cork South-West,Jim Daly,Fine Gael,true,2011,32,"31,32",False
John-Deasy.D.2002-06-06,John,Deasy,Waterford,John Deasy,Fine Gael,false,2002,32,"31,32",False
Patrick-Deering.D.2011-03-09,Pat,Deering,Carlow-Kilkenny,Pat Deering,Fine Gael,false,2011,32,"31,32",False
Andrew-Doyle.D.2007-06-14,Andrew,Doyle,Wicklow,Andrew Doyle,Fine Gael,true,2007,32,"31,32",False
Regina-Doherty.D.2011-03-09,Regina,Doherty,Meath East,Regina Doherty,Fine Gael,true,2011,32,"26,31,32",False
Catherine-Murphy.D.2005-03-11,Catherine,Murphy,Kildare North,Catherine Murphy,Social Democrats,false,2005,33,"31,32,33",False
Eoghan-Murphy.D.2011-03-09,Eoghan,Murphy,Dublin Bay South,Eoghan Murphy,Fine Gael,false,2011,33,"31,32,33",False
Denis-Naughten.S.1997-01-28,Denis,Naughten,Roscommon-Galway,Denis Naughten,Independent,false,1997,33,"31,32,33",False
Malcolm-Noonan.D.2020-02-08,Malcolm,Noonan,Carlow-Kilkenny,Malcolm Noonan,Green Party,true,2020,33,"27,33",False
Joe-O'Brien.D.2019-11-29,Joe,O'Brien,Dublin Fingal,Joe O'Brien,Green Party,true,2019,33,"32,33",False
Imelda-Munster.D.2016-10-03,Imelda,Munster,Louth,Imelda Munster,Sinn Féin,false,2016,33,"32,33",False
Marc-MacSharry.S.2002-09-12,Marc,MacSharry,Sligo-Leitrim,Marc MacSharry,Fianna Fáil,false,2002,33,"24,32,33",False
Josepha-Madigan.D.2016-10-03,Josepha,Madigan,Dublin Rathdown,Josepha Madigan,Fine Gael,true,2016,33,"32,33",False
Catherine-Martin.D.2016-10-03,Catherine,Martin,Dublin Rathdown,Catherine Martin,Green Party,true,2016,33,"32,33",False
Steven-Matthews.D.2020-02-08,Steven,Matthews,Wicklow,Steven Matthews,Green Party,false,2020,33,33,False
Michael-McGrath.D.2007-06-14,Michael,McGrath,Cork South-Central,Michael McGrath,Fianna Fáil,true,2007,33,"31,32,33",False
Joe-McHugh.S.2002-09-12,Joe,McHugh,Donegal,Joe McHugh,Fine Gael,false,2002,33,"31,32,33",False
Michael-McNamara.D.2011-03-09,Michael,McNamara,Clare,Michael McNamara,Independent,false,2011,33,"31,33",False
Pauline-Tully.D.2020-02-08,Pauline,Tully,Cavan-Monaghan,Pauline Tully,Sinn Féin,false,2020,33,"27,33",False
Leo-Varadkar.D.2007-06-14,Leo,Varadkar,Dublin West,Leo Varadkar,Fine Gael,false,2007,33,"31,32,33",False
Violet-Anne-Wynne.D.2020-02-08,Violet-Anne,Wynne,Clare,Violet-Anne Wynne,Sinn Féin,false,2020,33,33,False
David-Stanton.D.1997-06-26,David,Stanton,Cork East,David Stanton,Fine Gael,false,1997,33,"31,32,33",False
Éamon-Ó-Cuív.S.1989-10-01,Éamon,Ó Cuív,Galway West,Éamon Ó Cuív,Fianna Fáil,false,1989,33,"31,32,33",False
Aodhán-Ó-Ríordáin.D.2011-03-09,Aodhán,Ó Ríordáin,Dublin Bay North,Aodhán Ó Ríordáin,Labour Party,false,2011,33,"25,31,33",False
Marc-Ó-Cathasaigh.D.2020-02-08,Marc,Ó Cathasaigh,Waterford,Marc Ó Cathasaigh,Green Party,false,2020,33,33,False
