local_authority,year,adjustment_pct,source_url,retrieved_date
Longford,2024,15.0,https://web.archive.org/web/20240404131538/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Louth,2024,0.0,https://web.archive.org/web/20240404131538/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Mayo,2024,10.0,https://web.archive.org/web/20240404131538/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Meath,2024,0.0,https://web.archive.org/web/20240404131538/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Monaghan,2024,15.0,https://web.archive.org/web/20240404131538/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Offaly,2024,15.0,https://web.archive.org/web/20240404131538/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Roscommon,2024,15.0,https://web.archive.org/web/20240404131538/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Sligo,2024,15.0,https://web.archive.org/web/20240404131538/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
South Dublin,2024,-15.0,https://web.archive.org/web/20240404131538/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Tipperary,2024,10.0,https://web.archive.org/web/20240404131538/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Waterford,2024,10.0,https://web.archive.org/web/20240404131538/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Westmeath,2024,0.0,https://web.archive.org/web/20240404131538/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Wexford,2024,15.0,https://web.archive.org/web/20240404131538/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Wicklow,2024,6.0,https://web.archive.org/web/20240404131538/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Carlow,2025,5.0,https://web.archive.org/web/20250121014850/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Cavan,2025,15.0,https://web.archive.org/web/20250121014850/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Clare,2025,15.0,https://web.archive.org/web/20250121014850/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Cork City,2025,12.0,https://web.archive.org/web/20250121014850/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Cork County,2025,10.0,https://web.archive.org/web/20250121014850/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Donegal,2025,15.0,https://web.archive.org/web/20250121014850/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Dublin City,2025,-15.0,https://web.archive.org/web/20250121014850/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Dun Laoghaire-Rathdown,2025,-15.0,https://web.archive.org/web/20250121014850/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Fingal,2025,-7.5,https://web.archive.org/web/20250121014850/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Galway City,2025,15.0,https://web.archive.org/web/20250121014850/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Galway County,2025,15.0,https://web.archive.org/web/20250121014850/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Kerry,2025,10.0,https://web.archive.org/web/20250121014850/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Kildare,2025,10.0,https://web.archive.org/web/20250121014850/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Kilkenny,2025,15.0,https://web.archive.org/web/20250121014850/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Laois,2025,15.0,https://web.archive.org/web/20250121014850/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
Leitrim,2025,15.0,https://web.archive.org/web/20250121014850/https://www.revenue.ie/en/property/local-property-tax/valuing-your-property/determining-lpt-charge.aspx,2026-07-10
