local_authority,member,meeting_date,motion,vote,source_status,join_status
Carlow,Daniel Pender,March 2026,"resolution the material alterations must be prepared and placed on public display. Once on public display, members of the public then have a period of four (4) weeks to view and make submissions or observations on the",for,text,resolved
Carlow,John Pender,March 2026,"resolution the material alterations must be prepared and placed on public display. Once on public display, members of the public then have a period of four (4) weeks to view and make submissions or observations on the",for,text,resolved
Carlow,Fintan Phelan,March 2026,"resolution the material alterations must be prepared and placed on public display. Once on public display, members of the public then have a period of four (4) weeks to view and make submissions or observations on the",for,text,resolved
Carlow,William Quinn,March 2026,"resolution the material alterations must be prepared and placed on public display. Once on public display, members of the public then have a period of four (4) weeks to view and make submissions or observations on the",for,text,printed_form
Carlow,Adrienne Wallace,March 2026,"resolution the material alterations must be prepared and placed on public display. Once on public display, members of the public then have a period of four (4) weeks to view and make submissions or observations on the",for,text,resolved
Carlow,Ben Ward,March 2026,"resolution the material alterations must be prepared and placed on public display. Once on public display, members of the public then have a period of four (4) weeks to view and make submissions or observations on the",for,text,resolved
Carlow,Fergal Browne,April 2026,"that these excise reductions will take effect from midnight on Wednesday, 15 April 2026, and will remain in place until 31 July 2026. Carlow County Council recognises the importance of these measures in easing cost-",for,text,resolved
Carlow,John Cassin,April 2026,"that these excise reductions will take effect from midnight on Wednesday, 15 April 2026, and will remain in place until 31 July 2026. Carlow County Council recognises the importance of these measures in easing cost-",against,text,resolved
Carlow,Andrea Dalton,April 2026,"that these excise reductions will take effect from midnight on Wednesday, 15 April 2026, and will remain in place until 31 July 2026. Carlow County Council recognises the importance of these measures in easing cost-",for,text,resolved
Carlow,Fergal Browne,April 2026,"Proposed by Cllr. F. Browne, Seconded by Cllr. M. Doran “To approve the non-recommendation of the Chief Executive regarding 2 submission (No’s CLW-C181-18 rezoning 1.15 ha from Strategic Reserve to New Residential.”",for,text,resolved
Carlow,John Cassin,April 2026,"Proposed by Cllr. F. Browne, Seconded by Cllr. M. Doran “To approve the non-recommendation of the Chief Executive regarding 2 submission (No’s CLW-C181-18 rezoning 1.15 ha from Strategic Reserve to New Residential.”",for,text,resolved
Carlow,Andrea Dalton,April 2026,"Proposed by Cllr. F. Browne, Seconded by Cllr. M. Doran “To approve the non-recommendation of the Chief Executive regarding 2 submission (No’s CLW-C181-18 rezoning 1.15 ha from Strategic Reserve to New Residential.”",for,text,resolved
Carlow,Jim Deane,April 2026,"Proposed by Cllr. F. Browne, Seconded by Cllr. M. Doran “To approve the non-recommendation of the Chief Executive regarding 2 submission (No’s CLW-C181-18 rezoning 1.15 ha from Strategic Reserve to New Residential.”",for,text,resolved
Carlow,Fergal Browne,April 2026,"Proposed by Cllr. P. Doogue, Seconded by Cllr. F. Browne “To approve the non-recommendation of the Chief Executive regarding submissions (No CLW-C181-22) rezoning 4.0 ha from Strategic Reserve to New Residential with",for,text,resolved
Carlow,John Cassin,April 2026,"Proposed by Cllr. P. Doogue, Seconded by Cllr. F. Browne “To approve the non-recommendation of the Chief Executive regarding submissions (No CLW-C181-22) rezoning 4.0 ha from Strategic Reserve to New Residential with",for,text,resolved
Carlow,Andrea Dalton,April 2026,"Proposed by Cllr. P. Doogue, Seconded by Cllr. F. Browne “To approve the non-recommendation of the Chief Executive regarding submissions (No CLW-C181-22) rezoning 4.0 ha from Strategic Reserve to New Residential with",for,text,resolved
Carlow,Jim Deane,April 2026,"Proposed by Cllr. P. Doogue, Seconded by Cllr. F. Browne “To approve the non-recommendation of the Chief Executive regarding submissions (No CLW-C181-22) rezoning 4.0 ha from Strategic Reserve to New Residential with",for,text,resolved
Carlow,Fergal Browne,April 2026,"resolution, to make Variation No. 4, as recommended by the Chief Executive at the Council Meeting on 13th April 2026 on the proposal of Councillor Fergal Browne, seconded by Councillor Willie Quinn, with 18 members vo",for,text,resolved
Carlow,John Cassin,April 2026,"resolution, to make Variation No. 4, as recommended by the Chief Executive at the Council Meeting on 13th April 2026 on the proposal of Councillor Fergal Browne, seconded by Councillor Willie Quinn, with 18 members vo",for,text,resolved
Carlow,Andrea Dalton,April 2026,"resolution, to make Variation No. 4, as recommended by the Chief Executive at the Council Meeting on 13th April 2026 on the proposal of Councillor Fergal Browne, seconded by Councillor Willie Quinn, with 18 members vo",for,text,resolved
