circular_no,circular_title,department,rule_type,published_on,si_year,si_number,si_id,circular_source_url,circular_pdf_url,source_licence,extraction_note
25/2002,PDA 2024 Commencement Circular No 2A re An Coimisiún Pleanála (updated 2 July 2025),department-of-housing-local-government-and-heritage,act_commencement,3 July 2025,2025,262,2025-262,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/pda-2024-commencement-circular-no-2a-re-an-coimisi%C3%BAn-plean%C3%A1la-updated-2-july-2025/,https://assets.gov.ie/static/documents/PDA_2024_Commencement_Circular_No_2A_re_An_Coimisi%C3%BAn_Plean%C3%A1la_updated_2_July_2025.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
25/2002,PDA 2024 Commencement Circular No 2A re An Coimisiún Pleanála (updated 2 July 2025),department-of-housing-local-government-and-heritage,act_commencement,3 July 2025,2025,263,2025-263,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/pda-2024-commencement-circular-no-2a-re-an-coimisi%C3%BAn-plean%C3%A1la-updated-2-july-2025/,https://assets.gov.ie/static/documents/PDA_2024_Commencement_Circular_No_2A_re_An_Coimisi%C3%BAn_Plean%C3%A1la_updated_2_July_2025.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
04/2025,4/2025 The European Union (Planning and Development) (Renewable Energy) (No. 3) Regulations 2025 Circular,department-of-housing-local-government-and-heritage,planning_rule,3 October 2025,2025,274,2025-274,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/the-european-union-planning-and-development-renewable-energy-no-3-regulations-2025-circular/,https://assets.gov.ie/static/documents/86cf5b6b/Circular_Letter_CEPP_4.2025_re_S.I._435_of_2025.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
02/2025,2/2025 European Union (Planning and Development) (Renewable Energy) Regulations 2025 Circular CEPP 2/2025,department-of-housing-local-government-and-heritage,planning_rule,28 August 2025,2025,274,2025-274,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/european-union-planning-and-development-renewable-energy-regulations-2025-circular-cepp-22025/,https://assets.gov.ie/static/documents/20250826_Circular_CEPP_2.2025_re_Clarification_of_certain_matters_pertaining_to_S.I._2.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
01/2025,1/2025 European Union (Planning and Development) (Renewable Energy) Regulations 2025 CEPP 1/2025,department-of-housing-local-government-and-heritage,planning_rule,26 August 2025,2025,274,2025-274,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/european-union-planning-and-development-renewable-energy-regulations-2025/,https://assets.gov.ie/static/documents/20250815_Circular_CEPP_1.2025_re_Transposition_of_REDIII.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
01/2026,1/2026 CEPP 1/2026 European Union (Planning and Development) (Renewable Energy) Regulations 2025 Circular,department-of-housing-local-government-and-heritage,planning_rule,16 January 2026,2025,274,2025-274,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/cepp-12026-european-union-planning-and-development-renewable-energy-regulations-2025-circular/,https://assets.gov.ie/static/documents/aabd07fb/CEPP_1_2026_European_Union_Planning_and_Development_Renewable_Energy_Regulations_2025_16Jan2026.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
03/2025,3/2025 European Union (Planning and Development) (Renewable Energy) (No.2) Regulations 2025,department-of-housing-local-government-and-heritage,planning_rule,16 September 2025,2025,274,2025-274,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/european-union-planning-and-development-renewable-energy-no2-regulations-2025/,https://assets.gov.ie/static/documents/0649b73f/20250911_Circular_CEPP_3.2025_re_S.I._426_of_2025_.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
02/2026,2/2026 European Union (Planning and Development) (Renewable Energy) (Amendment) Regulations 2026 Circular CEPP 2/2026,department-of-housing-local-government-and-heritage,planning_rule,30 April 2026,2025,274,2025-274,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/european-union-planning-and-development-renewable-energy-amendment-regulations-2026-circular-cepp-22026/,https://assets.gov.ie/static/documents/d64d9894/CEPP_2_2026_European_Union_Planning_and_Development_Renewable_Energy_Amendment_Regulations_2026.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
01/2025,Letter SPI 01/2025 SPI 01/2025 Planning and Development (Street Furniture Fees) Regulations 2025 (S.I 367 of 2025),department-of-housing-local-government-and-heritage,planning_rule,15 August 2025,2025,367,2025-367,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/spi-012025-planning-and-development-street-furniture-fees-regulations-2025-si-367-of-2025/,https://assets.gov.ie/static/documents/SPI_01-2025_S254_Street_Furniture_fee_Regulations.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
25/2003,Planning and Development Act 2024 Commencement Circular No. 2025 03 - Ch 1 of Part 9 Judicial Review,department-of-housing-local-government-and-heritage,act_commencement,13 August 2025,2025,379,2025-379,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/planning-and-development-act-2024-commencement-circular-no-2025-03-ch-1-of-part-9-judicial-review/,https://assets.gov.ie/static/documents/PD_Act_2024_Commencement_Circular_No._2025_03_-__Ch_1_of_Part_9_Judicial_Review.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
02/2025,letter-PLR 02/2025 Planning Circular PLR 02/2025 Extension of duration of permissions for un-commenced housing development and suspension of,department-of-housing-local-government-and-heritage,other_guidance,13 August 2025,2025,379,2025-379,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/planning-circular-plr-022025-extension-of-duration-of-permissions-for-un-commenced-housing-development-and-suspension-of-running-of-duration-of-permission-during-judicial-review-proceedings/,https://assets.gov.ie/static/documents/SI_No_379_2025_Planning_and_Development_Act_2024_Commencement_No._3_Order_2025.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
03/2025,3/2025 European Union (Planning and Development) (Renewable Energy) (No.2) Regulations 2025,department-of-housing-local-government-and-heritage,planning_rule,16 September 2025,2025,426,2025-426,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/european-union-planning-and-development-renewable-energy-no2-regulations-2025/,https://assets.gov.ie/static/documents/0649b73f/20250911_Circular_CEPP_3.2025_re_S.I._426_of_2025_.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
02/2026,2/2026 European Union (Planning and Development) (Renewable Energy) (Amendment) Regulations 2026 Circular CEPP 2/2026,department-of-housing-local-government-and-heritage,planning_rule,30 April 2026,2025,435,2025-435,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/european-union-planning-and-development-renewable-energy-amendment-regulations-2026-circular-cepp-22026/,https://assets.gov.ie/static/documents/d64d9894/CEPP_2_2026_European_Union_Planning_and_Development_Renewable_Energy_Amendment_Regulations_2026.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
04/2025,4/2025 The European Union (Planning and Development) (Renewable Energy) (No. 3) Regulations 2025 Circular,department-of-housing-local-government-and-heritage,planning_rule,3 October 2025,2025,435,2025-435,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/the-european-union-planning-and-development-renewable-energy-no-3-regulations-2025-circular/,https://assets.gov.ie/static/documents/86cf5b6b/Circular_Letter_CEPP_4.2025_re_S.I._435_of_2025.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
,05 Planning and Development Act 2024 Commencement Circular No. 2025 05 Partial commencement of Part 16,department-of-housing-local-government-and-heritage,act_commencement,6 October 2025,2025,452,2025-452,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/planning-and-development-act-2024-commencement-circular-no-2025-05-partial-commencement-of-part-16/,https://assets.gov.ie/static/documents/c9d0d738/PDA_2024_Commencement_Circular_No._2025_05_Partial_commencement_of_Part_16.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
,04 Planning and Development Act 2024 Commencement Circular No. 2025 04 Partial commencement of Parts 3 and 6,department-of-housing-local-government-and-heritage,act_commencement,6 October 2025,2025,452,2025-452,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/planning-and-development-act-2024-commencement-circular-no-2025-04-partial-commencement-of-parts-3-and-6/,https://assets.gov.ie/static/documents/7817fc9b/PDA_2024_Commencement_Circular_No._2025_04_Partial_commencement_of_Parts_3_an.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
06/2025,6/2025 CEPP 6/2025 Circular Letter European Union (Environmental Assessment of Certain Plans and Programmes) (Amendment) Regulations 2025,department-of-housing-local-government-and-heritage,planning_rule,7 October 2025,2025,456,2025-456,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/cepp-62025-circular-letter-european-union-environmental-assessment-of-certain-plans-and-programmes-amendment-regulations-2025/,https://assets.gov.ie/static/documents/470b5564/Circular_Letter_EU_-_Environmental_Assessment_of_Certain_Plans_and_Programmes.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
05/2025,5/2025 CEPP 5/2025 Circular Letter European Union (Land Use Planning SEA) Regulations 2025,department-of-housing-local-government-and-heritage,planning_rule,7 October 2025,2025,456,2025-456,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/cepp-52025-circular-letter-european-union-land-use-planning-sea-regulations-2025/,https://assets.gov.ie/static/documents/c1a2db01/CEPP_5_2025_Circular_Letter_European_Union_Land_Use_Planning_SEA_Regulations_.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
,04 Planning and Development Act 2024 Commencement Circular No. 2025 04 Partial commencement of Parts 3 and 6,department-of-housing-local-government-and-heritage,act_commencement,6 October 2025,2025,456,2025-456,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/planning-and-development-act-2024-commencement-circular-no-2025-04-partial-commencement-of-parts-3-and-6/,https://assets.gov.ie/static/documents/7817fc9b/PDA_2024_Commencement_Circular_No._2025_04_Partial_commencement_of_Parts_3_an.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
,05 Planning and Development Act 2024 Commencement Circular No. 2025 05 Partial commencement of Part 16,department-of-housing-local-government-and-heritage,act_commencement,6 October 2025,2025,457,2025-457,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/planning-and-development-act-2024-commencement-circular-no-2025-05-partial-commencement-of-part-16/,https://assets.gov.ie/static/documents/c9d0d738/PDA_2024_Commencement_Circular_No._2025_05_Partial_commencement_of_Part_16.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
,04 Planning and Development Act 2024 Commencement Circular No. 2025 04 Partial commencement of Parts 3 and 6,department-of-housing-local-government-and-heritage,act_commencement,6 October 2025,2025,458,2025-458,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/planning-and-development-act-2024-commencement-circular-no-2025-04-partial-commencement-of-parts-3-and-6/,https://assets.gov.ie/static/documents/7817fc9b/PDA_2024_Commencement_Circular_No._2025_04_Partial_commencement_of_Parts_3_an.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
06/2025,6/2025 CEPP 6/2025 Circular Letter European Union (Environmental Assessment of Certain Plans and Programmes) (Amendment) Regulations 2025,department-of-housing-local-government-and-heritage,planning_rule,7 October 2025,2025,463,2025-463,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/cepp-62025-circular-letter-european-union-environmental-assessment-of-certain-plans-and-programmes-amendment-regulations-2025/,https://assets.gov.ie/static/documents/470b5564/Circular_Letter_EU_-_Environmental_Assessment_of_Certain_Plans_and_Programmes.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
22/2026,Defective Concrete Blocks Circular 22 of 2026 to designated local authorities,department-of-housing-local-government-and-heritage,funding_scheme,11 June 2026,2026,57,2026-057,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/defective-concrete-blocks-circular-22-of-2026-to-designated-local-authorities/,https://assets.gov.ie/static/documents/ef874d0a/20260604_DCB_Circular_22_of_2026_to_designated_local_authorities.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
22/2026,Defective Concrete Blocks Circular 22 of 2026 to designated local authorities,department-of-housing-local-government-and-heritage,funding_scheme,11 June 2026,2026,58,2026-058,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/defective-concrete-blocks-circular-22-of-2026-to-designated-local-authorities/,https://assets.gov.ie/static/documents/ef874d0a/20260604_DCB_Circular_22_of_2026_to_designated_local_authorities.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
01/2026,Letter NSP 01/2026 Circular Letter NSP 01/2026 - Developer Led Infrastructure (DLI) Initiative for Wastewater Services to support Housing De,department-of-housing-local-government-and-heritage,funding_scheme,12 March 2026,2026,65,2026-065,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/circular-letter-nsp-012026-developer-led-infrastructure-dli-initiative-for-wastewater-services-to-support-housing-delivery/,https://assets.gov.ie/static/documents/d529dd6b/NSP_01-2026-_Circular_on_Developer_Led_Infrastructure_DLI_Initiative_for_Wastewater_Services.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
02/2026,02/2026 Planning and Development (Short Term Letting - Planning and Development Act 2000) (Amendment) Regulations,department-of-housing-local-government-and-heritage,planning_rule,21 May 2026,2026,72,2026-072,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/planning-and-development-short-term-letting-planning-and-development-act-2000-amendment-regulations/,https://assets.gov.ie/static/documents/1eb65929/SPI_02_2026_Circular_Short_Term_Letting_not_confined_to_RPZs.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
02/2026,02/2026 Planning and Development (Short Term Letting - Planning and Development Act 2000) (Amendment) Regulations,department-of-housing-local-government-and-heritage,planning_rule,21 May 2026,2026,130,2026-130,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/planning-and-development-short-term-letting-planning-and-development-act-2000-amendment-regulations/,https://assets.gov.ie/static/documents/1eb65929/SPI_02_2026_Circular_Short_Term_Letting_not_confined_to_RPZs.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
02/2026,2/2026 European Union (Planning and Development) (Renewable Energy) (Amendment) Regulations 2026 Circular CEPP 2/2026,department-of-housing-local-government-and-heritage,planning_rule,30 April 2026,2026,185,2026-185,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/european-union-planning-and-development-renewable-energy-amendment-regulations-2026-circular-cepp-22026/,https://assets.gov.ie/static/documents/d64d9894/CEPP_2_2026_European_Union_Planning_and_Development_Renewable_Energy_Amendment_Regulations_2026.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
26/2001,Planning and Development Act 2024 Commencement Circular No 2026 01 Ch 2 of Part 9,department-of-housing-local-government-and-heritage,act_commencement,13 May 2026,2026,194,2026-194,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/number-202601/,https://assets.gov.ie/static/documents/a721e2b1/Planning_and_Development_Act_2024_Commencement_Circular_No_2026_01_Ch_2_of_Part_9.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
22/2026,Defective Concrete Blocks Circular 22 of 2026 to designated local authorities,department-of-housing-local-government-and-heritage,funding_scheme,11 June 2026,2026,217,2026-217,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/defective-concrete-blocks-circular-22-of-2026-to-designated-local-authorities/,https://assets.gov.ie/static/documents/ef874d0a/20260604_DCB_Circular_22_of_2026_to_designated_local_authorities.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
22/2026,Defective Concrete Blocks Circular 22 of 2026 to designated local authorities,department-of-housing-local-government-and-heritage,funding_scheme,11 June 2026,2026,221,2026-221,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/defective-concrete-blocks-circular-22-of-2026-to-designated-local-authorities/,https://assets.gov.ie/static/documents/ef874d0a/20260604_DCB_Circular_22_of_2026_to_designated_local_authorities.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
22/2026,Defective Concrete Blocks Circular 22 of 2026 to designated local authorities,department-of-housing-local-government-and-heritage,funding_scheme,11 June 2026,2026,225,2026-225,https://www.gov.ie/en/department-of-housing-local-government-and-heritage/circulars/defective-concrete-blocks-circular-22-of-2026-to-designated-local-authorities/,https://assets.gov.ie/static/documents/ef874d0a/20260604_DCB_Circular_22_of_2026_to_designated_local_authorities.pdf,"gov.ie circulars (DHLGH/DPER/Finance), PSI Licence / CC-BY","factual citation: circular text references this SI — extracted, not reproduced"
