local_authority,lea,name,party,status,source
Cork County,Carrigaline,Ben Dalton O'Sullivan,Independent,sitting,Cork County Council
Cork County,Carrigaline,Jack White,Fine Gael,sitting,Cork County Council
Cork County,Carrigaline,Audrey Buckley,Fianna Fáil,sitting,Cork County Council
Cork County,Carrigaline,Úna McCarthy,Fine Gael,sitting,Cork County Council
Cork County,Carrigaline,Eoghan Fahy,Sinn Féin,sitting,Cork County Council
Cork County,Cobh,Sheila O'Callaghan,Fianna Fáil,sitting,Cork County Council
Cork County,Cobh,Anthony Barry,Fine Gael,sitting,Cork County Council
Cork County,Cobh,Sinéad Sheppard,Fine Gael,sitting,Cork County Council
Cork County,Cobh,Cathal Rasmussen,Labour,sitting,Cork County Council
Cork County,Cobh,Ger Curley,Independent Ireland,sitting,Cork County Council
Cork County,Cobh,Dominic Finn,Fianna Fáil,sitting,Cork County Council
Cork County,Fermoy,William O'Leary,Independent,sitting,Cork County Council
Cork County,Fermoy,Frank O'Flynn,Fianna Fáil,sitting,Cork County Council
Cork County,Fermoy,Deirdre O'Brien,Fianna Fáil,sitting,Cork County Council
Cork County,Fermoy,Nelius Cotter,Fianna Fáil,sitting,Cork County Council
Cork County,Kanturk,Bernard Moynihan,Fianna Fáil,sitting,Cork County Council
Cork County,Kanturk,Trish Murphy,Fine Gael,sitting,Cork County Council
Cork County,Kanturk,Ian Doyle,Fianna Fáil,sitting,Cork County Council
Cork County,Macroom,Gobnait Moynihan,Fianna Fáil,sitting,Cork County Council
Cork County,Macroom,Michael Looney,Fianna Fáil,sitting,Cork County Council
Cork County,Macroom,Ted Lucey,Fine Gael,sitting,Cork County Council
Cork County,Macroom,Martin Coughlan,Independent,sitting,Cork County Council
Cork County,Mallow,Tony O'Shea,Fine Gael,sitting,Cork County Council
Cork County,Mallow,Liam Madden,Fine Gael,sitting,Cork County Council
Cork County,Mallow,Gearóid Murphy,Fianna Fáil,sitting,Cork County Council
Cork County,Mallow,Pat Hayes,Fianna Fáil,sitting,Cork County Council
Cork County,Midleton,Mary Linehan Foley,Independent,sitting,Cork County Council
Cork County,Midleton,Michael Hegarty,Fine Gael,sitting,Cork County Council
Cork County,Midleton,Patrick Mulcahy,Fianna Fáil,sitting,Cork County Council
Cork County,Midleton,Rory Cocking,Fine Gael,sitting,Cork County Council
Cork County,Midleton,Ann Marie Ahern,Fianna Fáil,sitting,Cork County Council
Cork County,Midleton,John Buckley,Independent,sitting,Cork County Council
Cork County,Skibbereen – West Cork,Joe Carroll,Fianna Fáil,sitting,Cork County Council
Cork County,Skibbereen – West Cork,Deirdre Kelly,Fianna Fáil,sitting,Cork County Council
Cork County,Skibbereen – West Cork,Daniel Sexton,Independent Ireland,sitting,Cork County Council
Cork County,Skibbereen – West Cork,Isobel Towse,Social Democrats,sitting,Cork County Council
Cork County,,Eoghan Kenny,Labour,sitting,Cork County Council
Cork County,,Séamus McGrath,Fianna Fáil,sitting,Cork County Council
Cork County,,Noel McCarthy,Fine Gael,sitting,Cork County Council
Cork County,,John Paul O'Shea,Fine Gael,sitting,Cork County Council
Cork County,,Liam Quaide,Social Democrats,sitting,Cork County Council
Cork County,,Eileen Lynch,Fine Gael,sitting,Cork County Council
Cork County,,Noel O'Donovan,Fine Gael,sitting,Cork County Council
Cork County,,Patrick Gerard Murphy,Fianna Fáil,sitting,Cork County Council
Cork County,,Michael Creed,Fine Gael,sitting,Cork County Council
Cork County,,Peter O'Donoghue,Independent,sitting,Cork County Council
Donegal,Buncrana,Jack Murray,Sinn Féin,sitting,Donegal County Council
Donegal,Buncrana,Paul Canning,Fianna Fáil,sitting,Donegal County Council
Donegal,Buncrana,Terry Crossan,Sinn Féin,sitting,Donegal County Council
Donegal,Buncrana,Fionán Bradley,Fianna Fáil,sitting,Donegal County Council
Donegal,Carndonagh,Martin McDermott,Fianna Fáil,sitting,Donegal County Council
Donegal,Carndonagh,Albert Doherty,Sinn Féin,sitting,Donegal County Council
Donegal,Carndonagh,Martin Farren,Labour,sitting,Donegal County Council
Donegal,Donegal,Micheál Naughton,Fianna Fáil,sitting,Donegal County Council
Donegal,Donegal,Noel Jordan,Sinn Féin,sitting,Donegal County Council
Donegal,Donegal,Michael McMahon,Sinn Féin,sitting,Donegal County Council
Donegal,Donegal,Jimmy Brogan,Independent,sitting,Donegal County Council
Donegal,Donegal,Niamh Kennedy,Independent,sitting,Donegal County Council
Donegal,Glenties,Michael McClafferty,Independent,sitting,Donegal County Council
Donegal,Glenties,Anthony Molloy,Fianna Fáil,sitting,Donegal County Council
Donegal,Glenties,Brian Carr,Sinn Féin,sitting,Donegal County Council
Donegal,Glenties,John Shéamais Ó Fearraigh,Sinn Féin,sitting,Donegal County Council
Donegal,Letterkenny,Donal 'Mandy' Kelly,Fianna Fáil,sitting,Donegal County Council
Donegal,Letterkenny,Gerry McMonagle,Sinn Féin,sitting,Donegal County Council
Donegal,Letterkenny,Ciaran Brogan,Fianna Fáil,sitting,Donegal County Council
Donegal,Letterkenny,Jimmy Kavanagh,Fine Gael,sitting,Donegal County Council
Donegal,Letterkenny,Michael McBride,Independent,sitting,Donegal County Council
Donegal,Letterkenny,Dónal Coyle,Fianna Fáil,sitting,Donegal County Council
Donegal,Lifford – Stranorlar,Martin Scanlon,Independent,sitting,Donegal County Council
Donegal,Lifford – Stranorlar,Gary Doherty,Sinn Féin,sitting,Donegal County Council
Donegal,Lifford – Stranorlar,Martin Harley,Fine Gael,sitting,Donegal County Council
Donegal,Lifford – Stranorlar,Frank McBrearty Jnr,Independent,sitting,Donegal County Council
Donegal,Lifford – Stranorlar,Patrick McGowan,Fianna Fáil,sitting,Donegal County Council
Donegal,Lifford – Stranorlar,Dakota Nic Mheanman,Sinn Féin,sitting,Donegal County Council
Donegal,Milford,Declan Meehan,Independent,sitting,Donegal County Council
Donegal,Milford,Liam Blaney,Fianna Fáil,sitting,Donegal County Council
Donegal,Milford,Pauric McGarvey,Independent,sitting,Donegal County Council
Donegal,,Manus Boyle,Fine Gael,sitting,Donegal County Council
Dublin City,Artane–Whitehall,Racheal Batten,Fianna Fáil,sitting,Dublin City Council
Dublin City,Artane–Whitehall,Edel Moran,Sinn Féin,sitting,Dublin City Council
Dublin City,Artane–Whitehall,Declan Flanagan,Fine Gael,sitting,Dublin City Council
Dublin City,Artane–Whitehall,Jesslyn Henry,Social Democrats,sitting,Dublin City Council
Dublin City,Artane–Whitehall,Aisling Silke,Social Democrats,sitting,Dublin City Council
Dublin City,Ballyfermot–Drimnagh,Daithí Doolan,Sinn Féin,sitting,Dublin City Council
Dublin City,Ballyfermot–Drimnagh,Vincent Jackson,Independent,sitting,Dublin City Council
Dublin City,Ballyfermot–Drimnagh,Hazel De Nortúin,PBP–Solidarity,sitting,Dublin City Council
Dublin City,Ballymun–Finglas,Keith Connolly,Fianna Fáil,sitting,Dublin City Council
