local_authority,meeting,doc_type,power_class,power_type,n_hits,source_status
Clare,minutes-march-2026-monthly-meeting-clare-county-council,plenary_minutes,reserved_veto_s183,reserved,4,html
Clare,minutes-march-2026-monthly-meeting-clare-county-council,plenary_minutes,reserved_veto_part8,reserved,1,html
Clare,minutes-february-2026-monthly-meeting-clare-county-council,plenary_minutes,reserved_real_devplan,reserved,1,html
Clare,minutes-february-2026-monthly-meeting-clare-county-council,plenary_minutes,reserved_veto_s183,reserved,12,html
Clare,minutes-february-2026-monthly-meeting-clare-county-council,plenary_minutes,reserved_veto_part8,reserved,3,html
Clare,minutes-january-2026-monthly-meeting-clare-county-council,plenary_minutes,reserved_real_budget,reserved,2,html
Clare,minutes-december-2025-monthly-meeting-clare-county-council,plenary_minutes,reserved_veto_s183,reserved,4,html
Clare,minutes-december-2025-monthly-meeting-clare-county-council,plenary_minutes,reserved_super_matcontra,reserved,3,html
Clare,minutes-budget-2026-meeting-clare-county-council,plenary_minutes,reserved_real_budget,reserved,2,html
Clare,minutes-budget-2026-meeting-clare-county-council,plenary_minutes,reserved_real_lpt,reserved,1,html
Clare,minutes-budget-2026-meeting-clare-county-council,plenary_minutes,reserved_real_rates,reserved,2,html
Clare,minutes-november-2025-monthly-meeting-clare-county-council,plenary_minutes,reserved_real_devplan,reserved,1,html
Clare,minutes-november-2025-monthly-meeting-clare-county-council,plenary_minutes,reserved_veto_part8,reserved,4,html
Clare,minutes-october-2025-monthly-meeting-clare-county-council,plenary_minutes,reserved_veto_s183,reserved,12,html
Clare,minutes-october-2025-monthly-meeting-clare-county-council,plenary_minutes,reserved_veto_part8,reserved,4,html
Clare,minutes-september-2025-adjourned-meeting-clare-county-council,plenary_minutes,reserved_veto_s183,reserved,27,html
Clare,minutes-september-2025-adjourned-meeting-clare-county-council,plenary_minutes,reserved_veto_part8,reserved,8,html
Clare,minutes-july-2025-monthly-meeting-clare-county-council,plenary_minutes,exec_noted_mgmt,executive,2,html
Clare,minutes-june-2025-monthly-meeting-clare-county-council,plenary_minutes,reserved_veto_s183,reserved,12,html
Clare,minutes-june-2025-monthly-meeting-clare-county-council,plenary_minutes,reserved_veto_part8,reserved,4,html
Clare,minutes-june-2025-monthly-meeting-clare-county-council,plenary_minutes,exec_noted_annual,executive,1,html
Clare,2817,plenary_minutes,reserved_veto_s183,reserved,12,html
Clare,2817,plenary_minutes,reserved_veto_part8,reserved,4,html
