constituency_slug,constituency_name,candidate_slug,candidate_name,candidate_page_url,doc_type,doc_label,pdf_url,media_id
0e980-donegal,Donegal,1dbd2-mcgee-eamon,"McGee, Eamon",https://www.sipo.ie/en/collection/1dbd2-mcgee-eamon/,expense_statement,"McGee, Eamon - GE 2024 Expense Statement",https://assets.sipo.ie/media/285599/7b13757a-b548-4adc-8af5-9db74ecb3edb.pdf,285599
0e980-donegal,Donegal,3d1dc-sweeney-mary-t,"Sweeney, Mary T.",https://www.sipo.ie/en/collection/3d1dc-sweeney-mary-t/,donation_statement,"Sweeney, Mary T. - GE 2024 Donation Statement",https://assets.sipo.ie/media/284758/a9d6ac79-1e3b-45e1-817b-8b824f9097dc.pdf,284758
0e980-donegal,Donegal,3d1dc-sweeney-mary-t,"Sweeney, Mary T.",https://www.sipo.ie/en/collection/3d1dc-sweeney-mary-t/,expense_statement,"Sweeney, Mary T. - GE 2024 Expense Statement",https://assets.sipo.ie/media/284759/2f32b632-800a-461a-a63b-7bc4aa7e1fa6.pdf,284759
0e980-donegal,Donegal,47c0a-mcconalogue-charlie,"McConalogue, Charlie",https://www.sipo.ie/en/collection/47c0a-mcconalogue-charlie/,expense_statement,"McConalogue, Charlie - GE 2024 Expense Statement",https://assets.sipo.ie/media/284103/ce5c26b6-7a7a-43d4-9626-6e17517ec305.pdf,284103
0e980-donegal,Donegal,4b65e-mcmenamin-kim,"McMenamin, Kim",https://www.sipo.ie/en/collection/4b65e-mcmenamin-kim/,donation_statement,"McMenamin, Kim - GE 2024 Donation Statement",https://assets.sipo.ie/media/284726/ff3d64e3-4e1f-429e-b412-35d61bd5a09f.pdf,284726
0e980-donegal,Donegal,4b65e-mcmenamin-kim,"McMenamin, Kim",https://www.sipo.ie/en/collection/4b65e-mcmenamin-kim/,expense_statement,"McMenamin, Kim - GE 2024 Expense Statement",https://assets.sipo.ie/media/284727/2637d825-b91f-4578-91c5-71ef89dd7ff1.pdf,284727
0e980-donegal,Donegal,56859-mac-lochlainn-padraig,"Mac Lochlainn, Pádraig",https://www.sipo.ie/en/collection/56859-mac-lochlainn-padraig/,expense_statement,"Mac Lochlainn, Pádraig - GE 2024 Expense Statement",https://assets.sipo.ie/media/284291/c62ac3bb-deea-42c8-af27-746511d38469.pdf,284291
0e980-donegal,Donegal,6942d-doherty-pearse,"Doherty, Pearse",https://www.sipo.ie/en/collection/6942d-doherty-pearse/,expense_statement,"Doherty, Pearse - GE 2024 Expense Statement",https://assets.sipo.ie/media/285835/2f832dd4-dfc4-4e81-a1ff-8c8fe86695c7.pdf,285835
0e980-donegal,Donegal,6c228-mcnulty-john,"McNulty, John",https://www.sipo.ie/en/collection/6c228-mcnulty-john/,expense_statement,"McNulty, John 2024 GE Expense Statement",https://assets.sipo.ie/media/285385/9c0de883-2ce6-4bee-948c-56406496a007.pdf,285385
0e980-donegal,Donegal,7997d-carr-nuala,"Carr, Nuala",https://www.sipo.ie/en/collection/7997d-carr-nuala/,donation_statement,"Carr, Nuala GE 2024 Donation Statement",https://assets.sipo.ie/media/284928/fbcaf990-c701-4860-990a-511772aa9556.pdf,284928
